mode,status_enum,pass_condition,warn_condition,block_condition,current_expected_status
exact_reproduction_attempt,BLOCK_MISSING_OVERLAP_KERNEL,"exact_overlap_formula_or_code_ref identifies equation id, SI method, or versioned code defining omega(i,j), summation semantics, units, and tolerances","prose describes OI qualitatively but no replayable kernel is named","exact_overlap_formula_or_code_ref is missing or not machine-reviewable","BLOCK_MISSING_OVERLAP_KERNEL"
exact_reproduction_attempt,BLOCK_MISSING_PAIR_RULE,"pair_selection_rule or source-defined pair procedure id defines P(S,theta_pair), cutoff, units, and boundary convention","cutoff is mentioned without units or inclusion/exclusion convention","pair_selection_rule is missing, unitless, or not tied to source_row_id and structure_id","BLOCK_MISSING_PAIR_RULE"
exact_reproduction_attempt,BLOCK_MISSING_RAW_SUM,"OI_raw_sum is provided with provenance to source_row_id, structure_id, pair rule, and formula/code version","only normalized OI_norm is reported; raw numerator is absent","OI_raw_sum is missing or cannot be recomputed from the stated formula/code and pair set","BLOCK_MISSING_RAW_SUM"
exact_reproduction_attempt,BLOCK_MISSING_NORMALIZATION,"normalization_rule_ref or OI_normalization_formula_id maps OI_raw_sum to O_s or OI_norm for the same source row","a denominator value is stated without its provenance or source binding","normalization_rule_ref is missing, denominator trace is absent, or the normalization is not tied to the same raw sum and structure","BLOCK_MISSING_NORMALIZATION"
exact_reproduction_attempt,BLOCK_MISSING_SAME_STRUCTURE_MAPPING,"same_structure_mapping_ref binds source_row_id, structure_id, pair rule, raw sum, denominator, and reported normalized value into one identity chain","some identities are present but the row-to-structure-to-value crosswalk is incomplete","same_structure_mapping_ref is missing or contradicts source_row_id, structure_id, label_provenance_id, or executor_trace","BLOCK_MISSING_SAME_STRUCTURE_MAPPING"
exact_reproduction_attempt,BLOCK_FREE_TEXT_ONLY,"Every required witness is represented by machine-reviewable evidence such as DOI/table row, SI file, raw structure file, protocol record, versioned manifest, or hashable trace","free text appears only as explanatory metadata beside machine-reviewable witnesses","a required witness exists only as free text or manual label","BLOCK_FREE_TEXT_ONLY"
exact_reproduction_attempt,BLOCK_MISSING_EXECUTOR_TRACE,"executor_trace includes input hashes, code/formula version, computed raw sum, normalization output, tolerance, and final O_s or OI_norm","trace is present but has non-critical annotation gaps; required computed values and hashes remain available","executor_trace is missing, cannot reproduce row_decision, or row_decision is manually asserted instead of field-derived","BLOCK_MISSING_EXECUTOR_TRACE"
exact_reproduction_attempt,BLOCK_IDENTITY_CONTRADICTION,"row_id, source_row_id, structure_id, label_provenance_id, and reproduction witnesses are contradiction-free","duplicate aliases exist but resolve to the same stable source and structure identities","any identity field resolves to a different source row, structure, snapshot, denominator, or reported value","BLOCK_IDENTITY_CONTRADICTION"
material_validation_request,BLOCK_MATERIAL_VALIDATION,"No pass state at S2 unless exact_reproduction_attempt has PASS_REPRODUCTION_CONTRACT and downstream validation gates are explicitly invoked","A future plan may note material validation as a later stage","material_validation_claimed=true while current row_decision is not PASS_REPRODUCTION_CONTRACT or unresolved blockers remain","BLOCK_MATERIAL_VALIDATION"
current_payload,BLOCK_CURRENT_PAYLOAD_ONLY,"Future payload supplies all exact reproduction witnesses and passes identity and trace checks","Current payload remains usable as literature context if mode=reported_context_only","Current available B Round 2 payload lacks formula/code, raw sum, normalization, same-structure mapping, and executor trace for exact reproduction","BLOCK_CURRENT_PAYLOAD_ONLY"
