"field","type","required","provenance_requirement","pass_condition","block_condition","notes","source"
"forbidden_control_audit_contract","json_array","true","see_pass_condition","one normalized record exists for each applicable rule with rule_id target_type namespace columns_checked result reason; every result is pass or not_applicable","missing record parser error unknown namespace failed rule missing reason or incomplete columns_checked","Normalized replacement/extension for high-level forbidden_control_audit JSON","A_round3_patch"
"forbidden_control_audit_decision","string","true","see_pass_condition","Value is derived_pass derived_fail blocked_missing_provenance or not_applicable_with_rationale","manual pass or inconsistent with per-check results","Structured replacement for free-text forbidden_control_audit decision","B_round3_patch"
"forbidden_control_audit_pass","boolean","true","see_pass_condition","Derived true only when structured audit record exists and all six per-check results pass or not_applicable_with_rationale","manual true any failed check or any blocked/missing provenance","Intermediate gate for material_validation_allowed","B_round3_patch"
"forbidden_control_audit_record_json","json","true","see_pass_condition","Structured record contains timestamp/version auditor role per-check results provenance notes and derived decision","missing or replaced by free-text pass","Prevents single-string audit pass","B_round3_patch"
"forbidden_rule_id","string","true","see_pass_condition","stable id exists inside each forbidden_control_audit_contract record and maps to the active rule set","missing unstable duplicate within row or not mapped to a known rule","Per-rule output column","A_round3_patch"
"forbidden_rule_namespace","enum","true","see_pass_condition","namespace is a single parser-recognized value in oi graph controls label","missing unknown or semicolon-delimited multi-namespace token","Prevents opaque oi;graph semantics","A_round3_patch"
"forbidden_rule_reason","string","true","see_pass_condition","reason records why the rule passed or was not applicable","missing empty or generic parser placeholder","Required for mechanical audit traceability","A_round3_patch"
"forbidden_rule_result","enum","true","see_pass_condition","result is pass or not_applicable with reason for every rule record","fail unknown missing or parser_error","Any fail drives row_decision=failed_forbidden_control","A_round3_patch"
"forbidden_rule_target_type","string","true","see_pass_condition","target_type is present inside each audit record and matches the row target family","missing or inconsistent with row target","Per-rule output column","A_round3_patch"
"G1_attack_gap_lambda2","float","true","Targeted-vs-matched-random attack protocol with removed budget and seed policy","present_and_provenance_satisfies_schema","missing_matched_attack_control","Must include matched random weakening","active_schema"
"G1_lambda2_Lsym","float","true","Graph convention provenance fixed before labels are read","present_and_provenance_satisfies_schema","missing_graph_metric_or_late_convention","Primary Laplacian convention must be L_sym","active_schema"
"G1_rho_A_budget_norm","float","true","Budget-normalized weighted adjacency spectral radius with graph-convention id","present_and_provenance_satisfies_schema","missing_graph_metric_or_budget_norm","Raw spectral radius alone is not sufficient","active_schema"
"G1_same_graph_row_consistency","string","true","see_pass_condition","Value is pass when all G1 metrics share structure_id snapshot_id_or_window graph_cutoff_rule and graph_convention_provenance_id","missing fail or G1 fields come from mixed graph rows","Executes GCL-05","B_round3_patch"
"graph_convention_lock_pass","boolean","true","see_pass_condition","Derived true only when all graph convention lock fields pass","manual true or any GCL component failed blocked or missing","Intermediate gate for material_validation_allowed","B_round3_patch"
"graph_convention_provenance_id","string","true","see_pass_condition","Protocol id version or timestamp exists and predates label reading","missing or selected after labels","Executes GCL-01","B_round3_patch"
"graph_cutoff_rule","json_or_string","true","see_pass_condition","Edge and weight rule including geometry/orbital inputs is declared and computable from structure_or_SI_source","missing post-label or not computable from row structure source","Needed for all G1 metrics","B_round3_patch"
"graph_generated_label_exclusion_result","string","true","see_pass_condition","Value is pass with is_external_to_graph_proxy=true and synthetic_label_flag=false","fail blocked_missing_provenance graph-generated label or synthetic label","Forbidden-control label exclusion check","B_round3_patch"
"graph_protocol_prelabel_lock","string","true","see_pass_condition","Value is pass with evidence that graph cutoff weighting Laplacian budget attack and seed policies predate labels","missing fail or only asserted in prose after label inspection","Mechanical pre-label lock result","B_round3_patch"
"is_external_to_graph_proxy","boolean","true","see_pass_condition","True only if label was not generated by graph proxy target fit or synthetic process","false missing or not independently auditable","Required for material validation","B_round3_patch"
"label_extraction_pregraph_independence_record","json_or_string","true","see_pass_condition","Record shows label extraction/source is independent of graph feature generation and target fitting","missing graph-generated target-fit-generated or synthetic label source","External label independence proof","B_round3_patch"
"label_method_scope","string","true","see_pass_condition","Measurement or calculation method and label scope are declared","missing method or ambiguous Hall/Drude/Wannier/spectral scope","Prevents payload without interpretable label type","B_round3_patch"
"label_provenance_id","string","true","DOI/table/figure/SI/path plus row or digitized point id","present_and_provenance_satisfies_schema","missing_label_trace","Every label needs an auditable source id","active_schema"
"label_temperature_or_scope","string","true","see_pass_condition","Temperature direction class window or static scope is declared where relevant","missing required experimental/spectral scope","Used by cross-source mismatch audit","B_round3_patch"
"lambda2_laplacian_convention","string","true","see_pass_condition","Value equals L_sym and references graph_convention_provenance_id","not L_sym missing or convention not tied to protocol id","Executes GCL-02","B_round3_patch"
"material_id","string","true","see_pass_condition","Human-readable material or composition descriptor is present and does not substitute for sample_id","missing or used as the only same-sample key","Secondary descriptor only","B_round3_patch"
"material_source_flag","string","true","see_pass_condition","Value is same_sample_material audited_declared_matched_structure_material baseline_context_only external_label_candidate_only blocked_join_candidate cross_source_candidate_blocked or synthetic_diagnostic","missing unrecognized or material-valid status asserted without crosswalk audit","Only first two values can ever pass material gate","B_round3_patch"
"material_validation_allowed","boolean","true","Derived from provenance completeness and synthetic flag","present_and_provenance_satisfies_schema","missing_flag","May be true only after all required provenance gates pass","active_schema"
"missingness_not_silent_result","string","true","see_pass_condition","Value is pass when all required missing fields carry explicit blocker state and rationale","fail blocked_missing_provenance or silent missing required field","Prevents implicit NA from passing","B_round3_patch"
"mobility_edge_independence_result","string","true","see_pass_condition","Value is pass or not_applicable_with_rationale with provenance notes","fail blocked_missing_provenance or extracted from same spectral fit as target","Forbidden-control per-row check","B_round3_patch"
"N_pair_provenance_id","string_or_null","true","see_pass_condition","row-level pair-count source or computation record is present when OI_comparison_mode=fixed_pair; null is allowed only for fixed_density or no_claim","missing while claiming fixed_pair; source lacks cutoff/counting convention; source is not same-row","Auditable provenance for fixed_pair_count","A_round3_patch"
"O_s_or_exact_overlap_baseline","float_or_string","true","Srivastava exact O_s or explicitly declared surrogate baseline with formula source","present_and_provenance_satisfies_schema","missing_exact_or_surrogate_status","No graph-beats-baseline claim without exact or locked surrogate baseline","active_schema"
"OI_comparison_mode","enum","true","see_pass_condition","value is one of fixed_density fixed_pair no_claim and is fixed before target-dependent modeling","missing free-text changed after label inspection or inconsistent with OI claim mode","Required input for executable fixed-density versus fixed-pair audit","A_round3_patch"
"onsite_variance_independence_result","string","true","see_pass_condition","Value is pass or not_applicable_with_rationale with provenance notes","fail blocked_missing_provenance or computed from target Wannier Hamiltonian","Forbidden-control per-row check","B_round3_patch"
"rho_A_budget_norm_rule","json_or_string","true","see_pass_condition","Records weighted adjacency raw rho if used budget quantity and normalization formula","raw unnormalized rho only or missing normalization budget","Executes GCL-03","B_round3_patch"
"row_id","string","true","see_pass_condition","Stable joined-row key exists and is reproducible from the predeclared join table","row key missing or regenerated after target inspection","Primary key for attaching structured audit records","B_round3_patch"
"same_sample_crosswalk_pass","boolean","true","see_pass_condition","Derived true only when all same-sample crosswalk fields pass","manual true or any SSX component failed blocked or missing","Intermediate gate for material_validation_allowed","B_round3_patch"
"sample_id","string","true","Stable same-sample key shared by structure graph controls and labels","present_and_provenance_satisfies_schema","missing_or_cross_sample_key","Must not encode target value","active_schema"
"sample_id_creation_record","json_or_string","true","see_pass_condition","Version timestamp or protocol record predates label extraction","missing later than label extraction or target-derived","Executes SSX-01 pre-label sample key lock","B_round3_patch"
"snapshot_id_or_window","string","true","see_pass_condition","Atomic snapshot averaging window or declared static-structure scope is present","missing for graph row or incompatible with label scope","May encode static structure if explicitly declared","B_round3_patch"
"snapshot_label_scope_match","string","true","see_pass_condition","Value is pass declared_matched_structure_pass or not_applicable_with_rationale","missing fail or label scope contradicts graph snapshot/window","Executes SSX-04","B_round3_patch"
"structure_id","string","true","see_pass_condition","Stable structure or model identifier maps to structure_or_SI_source and graph metrics","missing for any row with G1 fields","Required for same-graph consistency","B_round3_patch"
"structure_or_SI_source","string","true","Structure file SI table figure or model source with stable structure_id","present_and_provenance_satisfies_schema","missing_structure_trace","Must identify the structure used for graph/OI computation","active_schema"
"synthetic_label_flag","boolean","true","Row-level source flag","present_and_provenance_satisfies_schema","missing_flag","true rows are diagnostic only","active_schema"
