field,needed_for,available_now,evidence_source,current_status,minimum_unblock_action
N_pair,"Required for fixed-pair or source-row pair-count reproduction checks","Absent from current rows","C2T_S2_round1.json reproduction_fields_status; inspector_A_C2T_S2_round1.md","BLOCK","Generate row-specific pair list under the exact pair rule and store N_pair with provenance."
N_pair_provenance_id,"Required to audit pair count and prevent hidden normalization drift","Absent from current rows","C2T_S2_round1.json reproduction_fields_status","BLOCK","Store a provenance id for pair-list generation code, inputs, and output hash."
OI_pair_mean,"Needed for fixed-pair alternative mode if exact Srivastava reproduction stays blocked","Absent from current rows","C2T_S2_round1.json reproduction_fields_status","BLOCK_FOR_FIXED_PAIR_MODE","Compute from verified OI_raw_sum and N_pair, or avoid fixed_pair claims."
same_structure_mapping,"Required to use Srivastava overlap baseline in same-sample residual validation","No structure_id or downloadable atomistic structure is linked to reported OI_norm rows","C2T_S2_round1.json; inspector_A_C2T_S2_round1.md; PI_C2T_S2_round1.md","BLOCK","Attach exact structure file/hash per row and prove all OI, m_eff, and future graph metrics come from that same structure."
m_eff_over_m0,"External context label for reported effective-mass relation","Present for all four rows: 0.21; 0.22; 0.16; 0.17","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_FOR_CONTEXT_ONLY","Do not use for residual validation until same-structure mapping and exact O_s reproduction are complete."
external_residual,"Required for graph-vs-overlap residual validation claims","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","BLOCK_MATERIAL_VALIDATION","Compute only after exact baseline and same-sample external labels are provenance-complete."
lambda2_resid,"Required for LP29 graph residual comparison","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","BLOCK_MATERIAL_VALIDATION","Populate only from a same-structure graph pipeline after exact O_s baseline is reproduced."
spectral_radius_resid,"Required for LP29 graph residual comparison","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","BLOCK_MATERIAL_VALIDATION","Populate only from a same-structure graph pipeline after exact O_s baseline is reproduced."
attack_resid,"Required for high-betweenness damage residual comparison","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","BLOCK_MATERIAL_VALIDATION","Populate only from a same-structure graph pipeline after exact O_s baseline is reproduced."
decisive_claim_allowed,"Gate preventing material validation or graph-beats-overlap claims","false for all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","PASS_AS_BLOCKER","Keep false until exact witness payload and residual validation artifact pass."
provenance,"Audit trail distinguishing reported context from graph/material validation","reported_from_Srivastava_TableII_and_text_Fig4_paragraph;not_graph_validation","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_FOR_CONTEXT","Extend with official PDF/SI page, structure file hash, formula id, code hash, and extraction log before reproduction claims."
blocked_fields,"Explicit local declaration of missing fields","Each row blocks structure_id; num_atoms; OI_raw_sum; external_residual; lambda2_resid; spectral_radius_resid; attack_resid","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_AS_BLOCKER","Resolve each listed field with provenance before changing decisive_claim_allowed."
official_pdf_access,"Needed to recover formula/SI/table provenance if available","Crossref gives official PDF URL, but prior A round reported AIP JavaScript/cookie challenge; Round 2 paper-search-mcp found no OA substitute","C2T_S2_round1.json; paper-search-mcp Crossref/Unpaywall/arXiv checks 2026-06-04","BLOCK_FOR_AUTOMATED_EXTRACTION","Use library/manual AIP access or author copy; archive extraction log and page-level evidence."
open_repository_payload,"Potential source of structures, code, SI, or raw sums","arXiv exact-title search returned empty; Unpaywall DOI lookup returned empty; Semantic Scholar aggregate returned empty in query set","paper-search-mcp search_arxiv/search_unpaywall/search_papers 2026-06-04","NOT_FOUND","Search author repositories or request structures/code from authors; do not infer exact reproduction from absence of OA payload."
wrong_fallback_pdf,"Prevent contamination by unrelated downloaded PDF","Round 1 identified core_38590358.pdf as Lee et al. 2015 DOI 10.1038/srep13467, not Srivastava 2019","C2T_S2_round1.json; inspector_A_C2T_S2_round1.md","EXCLUDED","Do not use core_38590358.pdf or DOI 10.1038/srep13467 as Srivastava evidence."
OI_comparison_mode,"Required declaration before any executor or residual comparison can interpret OI fields","No valid reproduction payload mode is present; current admissible mode is reported_context_only","C2T_S2_round1.json; PI_C2T_S2_round1.md","BLOCK_FOR_REPRODUCED_O_S","Declare srivastava_reproduction only after exact witnesses exist; otherwise route through reported_context_only or a newly declared fixed_density/fixed_pair baseline."
overall_reproduction_status,"Final gate for Srivastava exact O_s baseline use","Reported context rows exist, but exact O_s reproduction witnesses do not","current/A/C2T_S2_round1.json; synthesis/inspector_A_C2T_S2_round1.md; synthesis/PI_C2T_S2_round1.md; this blocker table","BLOCK_REPRODUCED_EXACT_O_S_BASELINE","Minimum unblock package: official row/page provenance, structure_id and coordinates/hash, num_atoms, pair rule/cutoff provenance, pair list and N_pair, OI_raw_sum, executable normalization formula id, reproduced OI_norm check, and same-structure mapping."
