name,type,unit,provenance,namespace,allowed_targets,forbidden_when_target
spectral_ridge_width_eV,float,eV,spectral function fit,label,spectral_residual_label,forbidden as control when target=spectral_residual_label
IPR_near_EF,float,dimensionless,electronic calculation,label,spectral_residual_label,forbidden as control when target is IPR-derived localization label
baseline_formula_id,string,none,model registry,residual,all,never
cv_split_id,string,none,train/test split registry,residual,all,never
baseline_prediction,float,same_as_target,train-fold baseline model,residual,all,forbidden as feature in raw-label model; allowed only to compute residual
baseline_residual,float,same_as_target,train-fold baseline model,residual,external_residual_labels,forbidden as target if computed using test-fold fit
graph_model_prediction,float,same_as_target,held-out graph residual model,residual,diagnostics,never
heldout_delta_R2,float,dimensionless,cross-validation diagnostics,residual,diagnostics,never
heldout_delta_RMSE,float,same_as_target,cross-validation diagnostics,residual,diagnostics,never
coefficient_sign_stability,float,fraction,cross-validation diagnostics,residual,diagnostics,never
